HRB #,District Contributor ID,Name of Historic Site or Structure,APN,Street #,Street Name,City ,Zip Code,Comm. Plan Area,Neighborhood,Date Designated ,Designation Criteria,Other Inventory Listings,Architectural Style,"Year Built",Architect and/or Builder,Historic Individ,Historic District,Staff Report Number
862,,Carl E. and Leona L. Nichols House,534-382-03,937,22nd Street,San Diego,92102,Greater Golden Hill,Golden Hill,3/27/08,C (Architecture),,Folk Victoian,1904,"Thomas Jobbett, builder",,,HRB 08-022
863,,Alfred and Julia Southard House,449-680-07,3612,Elliott Street,San Diego,92106,Peninsula,Point Loma,3/27/08,C (Architecture),,Spanish Eclectic ,1927,Alfred M. Southard,,,HRB-08-020
864,,William and Lotte Porterfield House,443-140-18,4411,Hermosa Way,San Diego,92103,Uptown,Mission Hills,3/27/08,C (Architecture),,Craftsman,1917,,,,HRB-08-017
865,,Kensington Neon Sign,,Public Airspace adjacent to 4121 Adams Avenue,Adams Avenue,San Diego,92116,Kensington-Talmadge,Kensington,4/24/08,A (Special Elements) ,,,1952-1953,,,,HRB-08-027
866,,H.R. and Olga McClintock/Herbert Palmer & Milton Sessions House ,350-272-01,7755,Sierra Mar Drive,San Diego,92037,La Jolla,La Jolla,5/22/08,"C (Architecture)D (Master Architect/Builder)",,Spanish Electic,1927,"Herbert Palmer, Master Architect and Milton Sessions, Master Landscape Architect",,,HRB-08-031
867,,John W. Willmott Hardware/Florence Apartment Building,444-414-12,"800-8084010","West WashingtonFalcon Street",San Diego,92103,Uptown,Mission Hills,5/22/08,C (Architecture),,Spanish Electic,1929,,,,HRB-08-032
868,,P.D. Griswold Pharmacy/Commercial Building,444-414-12,"4003820","GoldfinchWest Washington",San Diego,92103,Uptown,Mission Hills,5/22/08,C (Architecture),,Early 20th Century Two-Part Commercial Block,1913,,,,HRB-08-033
869,,T. Claude Ryan House,532-273-08,548,San Fernando Street,San Diego,92106,Peninsula,La Playa,5/22/08,B (Historic Person),,,1962,Ralph L. Frank,T. Claude Ryan,,HRB-07-073
870,,Albert D. and Allie M. Hagaman/William B. Melhorn House,533-183-02,219-221,Kalmia Street,San Diego,92101,Uptown,Bankers Hill,5/22/08,"C (Architecture)D (Master Architect/Builder)",,Spanish Colonial Revival,1927,"William B. Melhorn, Master Builder",,,HRB-08-035
871,,Designation Overturned ,,,,,,,,,,,,,,,,
872,,Martin and Katherine Ortilieb Duplex,453-632-25,"2875-2889",Palm Street,San Diego,92104,Greater North Park,North Park,6/26/08,C (Architecture),,Spanish Colonial Revival,1927,,,,HRB-08-040
873,,Frank and Millie Lexa House,453-622-24,3030,33rd Street,San Diego,92104,North Park ,North Park,6/26/08,C (Architecture),,Craftsman Bungalow,1924,,,,HRB-08-041
874,,Louella Ash Spec House,539-214-07,1846,Granada Avenue,San Diego,92102,Greater Golden Hill,Golden Hill,6/26/08,C (Architecture),,Craftsman Bungalow,1917,,,,HRB-08-042
875,,Morris and Lillian Herriman House,452-494-21,435,West Thorn Street,San Diego,92103,Uptown,Mission Hills,6/26/08,C (Architecture),,Italian Renaissance,1926,,,,HRB-08-043
876,,Frederick and Haman Spec House #1,539-281-06,2914,Date Street,San Diego,92102,Greater Golden Hill,Golden Hill,6/26/08,C (Architecture),,Craftsman,1919,,,,HRB-08-044
877,,Ida R. Hedges House,451-201-04,3747,Eagle Street,San Diego,92103,Uptown,Mission Hills,7/24/08,C (Architecture),,National Folk Architecture,1904,,,,HRB 08-050
878,,Marguerite Robinson/Lilian Jenette Rice House,350-143-01,1600,Ludington Lane,San Diego,92037,La Jolla,La Jolla,7/24/08,"C (Architecture)D (Master Architect/Builder)",,Colonial Revival,1929,Lilian Jenette Rice,,,HRB 08-051
879,,George J. Singer House,452-450-34,3419,Vermont Street,San Diego,92103,Uptown,Mission Hills,8/28/08,C (Architecture),,Spanish Colonial Revival,1929,,,,HRB 08-053
880,,Joseph E. McFadden House,453-256-09,3560,29th Street,San Diego,92104,Greater North Park,North Park,8/28/08,A (Special Elements) ,,Craftsman,1911,,,,HRB 08-055
881,,Ralph Loren and Alice Mae Frank House,357-181-08,6003,Waverly Avenue,San Diego,92037,La Jolla,La Jolla,8/28/08,"C (Architecture)D (Master Architect/Builder)",,Spanish Electic,1928,Ralph L. Frank,,,HRB 08-056
882,,James J. Podesta House,357-030-07,6123,Avenida Cresta,San Diego,92037,La Jolla,La Jolla,8/28/08,C (Architecture),,Italian Renaissance,1927,,,,HRB 08-057
883,,Baron X. Kouch and Norma Meyer Schuh Spec House #1,451-400-08,3519,Dove Court,San Diego,92103,Uptown,Mission Hills,9/25/08,C (Architecture),,Spanish Electic,1931,,,,HRB 08-061
884,,Kate M. Dillon and Florence A. Maddock/ Henry J. Lang House,452-254-30,3696,Albatross Street,San Diego,92103,Uptown,Mission Hills,9/25/08,"C (Architecture)D (Master Architect/Builder)",,"Spanish Eclectic/Mission Revival",1923,Henry J. Lange,,,HRB 08-062
885,,Elizabeth Sullivan Frey House/Mut kula xuy/Mut lah hoy ya Site #5,Not permitted to list,,,,,,,10/30/08,"A (Archaeology)C (Architecture)",,Spanish Eclectic,1927,,,,HRB-08-059
886,,John and Beatrice McGregor House,450-324-07,3020,Dumas Street,San Diego,92106,Peninsula,Point Loma,10/30/08,C (Architecture),,Spanish Eclectic,1928,,,,HRB-08-064
887,,Stephen B. and Fannie Marks House,535-282-14 ,2644,Island Avenue,San Diego,92101,Centre City,Centre City,10/30/08,C (Architecture),,Victorian Queen Anne Cottage Style ,ca. 1888,,,,HRB-08-065
888,,Alberta Security Company/Martin V. Melhorn Spec House #2,443-484-10,4144,Lark Street,San Diego,92103,Uptown,Mission Hills,10/30/08,"C (Architecture)D (Master Architect/Builder)",,Prairie Style,1918-1923,Alberta Security Company/ Martin V. Melhorn,,,HRB-08-067
889,,Cornelius and Eva Lee Kelly Spec House #1,443-211-43,4330,Witherby Street,San Diego,92103,Uptown,Mission Hills,10/30/08,C (Architecture),,Spanish Eclectic,1926,,,,HRB-08-068
890,,S.S. and Rosa Kendall Spec House #1,453-131-01,3794,29th Street,San Diego,92104,Greater North Park,North Park,11/21/08,C (Architecture),,Craftsman,1921,,,,HRB-08-070
891,,Mut kula xuy/ Mut lah hoy ya Site #6,Not permitted to list,,,,,,,11/21/08,A (Archaeology),,,,,,,HRB-08-071
892,,Jean P. Hampton/A.L. & A.E. Dennstedt Building Company Spec House #1,351-223-02,7015,Vista Del Mar Avenue,San Diego,92037,La Jolla,La Jolla,11/21/08,"C (Architecture)D (Master Architect/Builder)",,Spanish Colonial Revival,1935,A.L. & A.E. Dennstedt Building Company,,,HRB-08-072
893,,Old Fire Station #19,546-271-01,3601,Ocean View Blvd.,San Diego,92113,Southeastern San Diego,Mountain View,1/22/09,"A (Special Element)B (Historic Person)C (Architecture)-Interiors Only",,Spanish Eclectic,1927,Quayle Brothers,First African American Firefighters in San Diego,,HRB 09-003
894,,Charles W. Fox/William Sterling Hebbard House,"452-577-29:  452-577-30: 452-577-31: 452-577-32: 452-577-03",3100,Brant Street,San Diego,92103,Uptown,Mission Hills,1/22/09,"C (Architecture)D (Master Architect/Builder)",,Craftsman,1908,William Sterling Hebbard,,,HRB 09-002
895,,Lillian Arnett House,443-250-37,2112,Pine Street,San Diego,92103,Uptown,Mission Hills,1/22/09,C (Architecture),,Craftsman,1916,,,,HRB 09-005
896,,"C. Arnholt Smith/ Ralph L. Frank House",443-520-57,2293,San Juan Road,San Diego,92103,Uptown,Mission Hills,1/22/09,"B (Historic Person)C (Architecture)D (Master Architect/Builder)",,Monterey,1936,Ralph L. Frank,C. Arnholt Smith,,HRB 09-007
897,,Industrial Developers/ Loch Crane Office Building,310-080-43,3344,Industrial Court,San Diego,92121,Torrey Pines ,Torrey Pines ,2/26/09,C (Architecture),,Contemprary sub-style of Modernism,1965,,,,HRB 09-008
898,,Minnie Gerhard/ Thomas Shepherd House,351-141-11,7118,Olivetas Avenue,San Diego,92037,La Jolla,La Jolla,2/26/09,"C (Architecture)D (Master Architect)",,French Electic Revival,1934,Thomas Shepherd,,,HRB 09-012
899,,Baron X. Kouch & Norma Meyer Schuh Spec House #2,466-591-40,4643,El Cerrito Drive,San Diego,92115,College Area,Montezuma,2/26/09,C (Architecture),,Spanish Electic,c. 1931,,,,HRB 09-014
900,,George and Amalia Gans House ,453-532-06,2890,East Redwood Street,San Diego,92104,Greater North Park,North Park,3/26/09,D (Master Architect),,Spanish Electic,1928,George Gans,,,HRB 09-010
901,,Hiram Newton Savage House ,452-705-08,2670,2nd Avenue,San Diego,92103,Uptown,Park West,3/26/09,B (Historic Person),,Craftsman,1909,,Hiram Newton Savage,,HRB 09-019
902,,Walt Mason House ,350-370-07,1411,Virginia Way,San Diego,92037,La Jolla,La Jolla,3/26/09,B (Historic Person),,Craftsman,1912,,Walt Mason,,HRB 09-021
903,,Laura A. Tyler House,539-226-13,1832,Dale Street,San Diego,92102,Greater Golden Hill,Golden Hill,3/26/09,C (Architecture),,Craftsman,1913,,,,HRB 09-022
904,,Frederick and Helen Thompson/Charles H. Tifal House,452-450-32,1232,Myrtle Avenue,San Diego,92103,Uptown,Hillcrest,4/23/09,"C (Architecture)D (Master Architect/Builder)",,Spanish Electic,1926,Charles H. Tifal,,,HRB 09-013
905,,Delawie Residence II ,451-752-02,1833,Neale Street,San Diego,92103,Uptown,Mission Hills,4/23/09,"C (Architecture)D (Master Architect/Builder)",,Post and Beam Modern,1963,Homer Delawie,,,HRB 09-028
906,,John Snyder/Ralph E. Hurlburt and Charles H. Tifal Spec House #1,443-061-48,2315,Fort Stockton Drive,San Diego,92103,Uptown,Mission Hills,4/23/09,"C (Architecture)D (Master Designer/Builder)",,Storybook ,1925,Ralph E. Hurlburt and Charles H. Tifal,,,HRB 09-026
907,,Robert & Lulu Bolam House,442-622-03,4115,Twiggs Street,San Diego,92103,Old San Diego,Old Town,5/28/09,C (Architecture),,Spanish Eclectic ,1929,,,,HRB 09-032
908,,Fred Jarboe House #2 ,450-134-04,3427,Freeman Street,San Diego,92106,Peninsula,Point Loma,5/28/09,"C (Architecture)D (Master Architect/Builder)",,Tudor Revival ,1925,Fred Jarboe,,,HRB 09-033
909,,Gilbert & Alberta McClure House,445-582-22,4044,Hamilton Street,San Diego,92104,Greater North Park,North Park,5/28/09,C (Architecture),,Tudor Revival ,1927,,,,HRB 09-034
910,,Irvine M. Schulman House ,442-670-12,2540,Presidio Drive,San Diego,92103,Uptown,Mission Hills,5/28/09,C (Architecture),,Art Moderne ,1938,,,,HRB 09-036
911,,James Don & Rita H. Keller/Lloyd Ruocco House,451-244-01,1433,Puterbaugh Street,San Diego,92103,Uptown,Midtown,6/25/09,"C (Architecture)D (Master Architect/Builder)",,Modern Contemporary ,1948,Lloyd Ruocco,,,HRB 09-042
912,,William Wahrenberger Spec House #3 ,450-031-07,3311,Udall Street,San Diego,92106,Peninsula,Point Loma,6/25/09,"C (Architecture)D (Master Architect/Builder)",,Monterey,1947,William F. Wahrenberger,,,HRB 09-043
913,,George and Martha Murrin/Allen Hilton Spec House #1,465-402-01,4625,East Talmadge Drive,San Diego,92116,Kensington-Talmadge,Kensington,6/25/09,"C (Architecture)D (Master Architect/Builder)",,Spanish Eclectic ,1930,Allen Hilton,,,HRB 09-044
914,,Harry and Meta Pollock/Wayne McAllister House,531-082-11,1068,Santa Barbara Street,San Diego,92107,Peninsula,Sunset Cliffs,6/25/09,"C (Architecture)D (Master Architect/Builder)",,Spanish Eclectic ,1930-38 ,Wayne D. McAllister,,,HRB 09-038
915,,La Jolla Adult Recreation Center Club ,350-010-01,1160,Coast Blvd.,San Diego,92037,La Jolla,La Jolla,6/25/09,A (Special Element),,Ranch,1939,,,,HRB 09-016
916,,"Archaeology Site CA-SDI-11,039 ",Not permitted to list,,,,,,,7/23/09,A (Archaeology),,,,,,,HRB 09-039
917,,"Stephen McMorrow Spec House #1 ",452-331-22,3620,Albert Street,San Diego,92103,Uptown,Hillcrest,7/23/09,C (Architecture),,Craftsman Bungalow ,1915,,,,HRB 09-051
918,,Mabel B. Schiller/Richard Requa House ,539-094-05,2207,29th Street,San Diego,92104,Greater Golden Hill,Golden Hill,7/23/09,"C (Architecture)D (Master Architect/Builder)",,Modern Minimal Traditional,1939,Richard Requa,,,HRB 09-045
919,,John and Cleo Zweck House ,450-042-13,3305,Yonge Street,San Diego,92106,Peninsula,Point Loma,7/23/09,C (Architecture),,Spanish Eclectic ,1948,,,,
920,,George and Beatrice Bown House ,443-563-08,4145,Miller Street,San Diego,92103,Uptown,Mission Hills,7/23/09,C (Architecture),,Spanish Eclectic ,1927,,,,
921,,"George Gans Spec House #3 ",453-573-18,3120,Felton Street,San Diego,92104,Greater North Park,North Park,7/23/09,"C (Architecture)D (Master Architect/Builder)",,Craftsman,1927,George Gans,,,
922,,Laurence Klauber House ,533-154-13,233,West Juniper Street,San Diego,92101,Uptown,Park West,7/23/09,B (Historic Person),,Prairie,1911,,Laurence Klauber ,,
923,,Richard M. Hathaway Spec. House No. 2 ,443-282-02,1855,Altamira Place,San Diego,92103,Uptown,Mission Hills,7/23/09,C (Architecture),,Spanish Eclectic ,1925,,,,
924,,"Village of Ystagua, Area #1",Not permitted to list,,,,,,,7/23/09,A (Archaeology),,,,,,,
925,,James P. and Florence E. Gibson/Charles Salyers House,465-300-08,4771    ,Vista Lane,San Diego,92116,Kensington-Talmadge ,Kensington,8/27/09,"A (Special Element)C (Architecture)D (Master Architect/Builder)",,Spanish Eclectic ,1927,Charles Salyers,,,HRB 09-059
926,,Edward W. and Gertrude A. Dennstedt House,465-492-13,4615,Norma Drive,San Diego,92115,Kensington-Talmadge ,Kensington,8/27/09,C (Architecture),,Spanish Eclectic ,1936,,,,HRB 09-053
927,,William and Anna Bradley/Lilian Rice House ,352-212-10,7325,Remley Place,San Diego,92037,La Jolla,La Jolla,8/27/09,"C (Architecture)D (Master Architect/Builder)",,Tudor Revival ,1930,Lilian Rice,,,HRB 09-054
928,,Raymond and Margaret Taylor House ,450-170-16,2732,Azalea Drive,San Diego,92106,Peninsula,Point Loma,8/27/09,C (Architecture),,Colonial Revival ,1927,,,,HRB 09-055
929,,Ralph Hurlburt/ Alexander Schreiber Spec House # 1 ,444-614-03,3917,Hawk Street,San Diego,92103,Uptown,Midtown,8/27/09,"C (Architecture)D (Master Designer/Builder)",,Colonial Revival ,1920,"Ralph Hurlburt, DesignerAlexander Schreiber, Builder",,,HRB 09-056
930,,Raymond and Doris Worrell House,443-061-42,4351,Ampudia Street,San Diego,92103,Uptown,Mission Hills,8/27/09,C (Architecture),,Spanish Eclectic ,1928,,,,HRB 09-057
931,,E.A. and Effie Tindula House,453-255-01,3593,29th Street,San Diego,92104,Greater North Park,North Park,9/25/09,C (Architecture),,Craftsman,1925,,,,HRB 09-061
932,,Lucy Killea House,452-494-27,3248,Brant Street,San Diego,92103,Uptown,Park West,9/25/09,"B (Historic Person)C (Architecture)",,Italian Renaissance,1920,,Lucy Killea,,HRB 09-064
933,,John Snyder/Ralph E. Hurlburt and Charles H. Tifal Spec House #2 ,443-061-37,4370,Trias Street,San Diego,92103,Uptown,Mission Hills,9/25/09,"C (Architecture)D (Master Designer/Builder)",,Tudor Revival ,1925,"Ralph E. Hurlburt, DesignerCharles H. Tifal, Builder",,,HRB 09-062
934,,John and Caroline Bostick House,442-701-07,2436,Presidio Drive,San Diego,92103,Uptown,Mission Hills,10/22/09,C (Architecture),,Spanish Eclectic ,1927,,,,HRB 09-069
935,,Francis and Dorothy Harvey House ,472-103-01,5801,Adelaide Avenue,San Diego,92115,Eastern Area,El Cerrito,10/22/09,C (Architecture),,Spanish Eclectic ,1932,,,,HRB 09-071
936,,Helen Schnepp Spec House #1 ,452-331-39,3636,Herbert Street,San Diego,92103,Uptown,Hillcrest,10/22/09,C (Architecture),,Craftsman Bungalow ,1925,,,,HRB 09-070
937,,Olmstead Building Company Spec House #1,443-210-36,4276,Trias Street,San Diego,92103,Uptown,Mission Hills,10/22/09,C (Architecture),,Spanish Colonial Revival ,1933,,,,HRB 09-073
938,,George and Alice Hazzard House,452-663-06,2900,6th Avenue,San Diego,92103,Uptown,Park West,11/20/09,C (Architecture),,Italian Renaissance Revival,1911,,,,"Memo dated 11/06/09, Memo dated 04/10/08 and HRB-07-045"
939,,Henry B. Jones House ,444-531-12,4040,5th Avenue,San Diego,92103,Uptown,Hillcrest,11/20/09,C (Architecture),,Craftsman,1911,,,,HRB-09-066
940,,Charles Jurman Building ,452-156-16,1041-1047,University Avenue,San Diego,92103,Uptown,Hillcrest,11/20/09,C (Architecture),,Two-Part Commercial Block ,1910,,,,HRB-09-074
941,,James A. Wilson Spec House #1,350-192-08,1263,Silverado Street,San Diego,92037,La Jolla,La Jolla,11/20/09,A (Special Element),,Craftsman,1909,,,,Memo dated 11/06/09 and HRB-09-065
942,,M.B. and Ida Irvin/ Alexander Schreiber Spec House #1 ,443-471-11,4195,Stephens Street,San Diego,92103,Uptown,Mission Hills,1/28/10,"C (Architecture)D (Master Architect/Builder)",,Craftsman,1920,Alexander Schreiber,,,HRB-10-001
943,,Cecil Roper House ,448-021-08,5147,Cape May Avenue,San Diego,92107,Ocean Beach,Ocean Beach,1/28/10,C (Architecture),,Modern Organic Geometric ,1963-1964,,,,HRB-10-002
944,,Sim Bruce Richards and the Janet Hopkins Richards House ,531-641-04,3360,Harbor View Drive,San Diego,92106,Peninsula,La Playa,1/28/10,"C (Architecture)D (Master Architect/Builder)",,Modern Contemporary ,1952-1964,Sim Bruce Richards,,,HRB-10-005
945,,Isaac Lyon Building and the Isaac Lyon Rental House,535-396-04,"1479360","J Street15th Street",San Diego,92101,Centre City,Centre City,1/28/10,"A (Special Element)C (Architecture)",,Folk Victorian ,c. 1883,,,,"Memo dated 01/15/09, Memo dated 09/13/07 and HRB-07-025"
946,,Julia Wilson House ,445-202-18,4410,Park Boulevard,San Diego,92116,Uptown,University Heights,2/26/10,C (Architecture),,Folk Victorian,1907-1908,,,,HRB-10-007
947,,Della M. Ballard House,443-421-15,4220,Arden Way,San Diego,92103,Uptown,Mission Hills,2/26/10,C (Architecture),,Prarie,1913,,,,HRB-10-004
948,,Ralph Hurlburt/ Alexander Schreiber Spec House #2,444-614-04,3907,Hawk Street,San Diego,92103,Uptown,Midtown,2/26/10,"C (Architecture)D (Master Designer/Builder)",,Colonial Revival,1920,"Ralph E. Hurlburt, DesignerAlexander Schreiber, Builder",,,HRB-10-008
949,,Arthur and Caroline Dickerson House ,452-013-55,3786,Albatross Street,San Diego,92103,Uptown,Hillcrest,2/26/10,C (Architecture),,Dutch Colonial Revival/Victorian Shingle,1909,,,,HRB-10-009
950,,Ralph H. Pratt House ,451-361-05,3503,Jackdaw Street,San Diego,92103,Uptown,Midtown,2/26/10,C (Architecture),,Art Moderne,1939,,,,HRB-10-010
951,,Page Manor/Walter Keller House,"531-580-05531-580-06",3580,Jennings Street,San Diego,92106,Peninsula,Wooded Area,3/25/10,"C (Architecture)D (Master Architect/Builder)",,Prairie,1910,Walter Keller,,,HRB-10-013
952,,David O. Dryden Spec. House #1 ,450-336-01,3221,Homer Street,San Diego,92106,Peninsula,Point Loma,3/25/10,"C (Architecture)D (Master Architect/Builder)",,Craftsman,1915,David O. Dryden,,,HRB-10-014
953,,Quality Building and Securities Company Speculative House #1,450-323-10,3036,Elliott Street,San Diego,92106,Peninsula,Point Loma,3/25/10,C (Architecture),,Spanish Eclectic ,1926,,,,HRB-10-015
954,,Johnson’s Wilshire Gas Station ,547-221-14,4689,Market Street,San Diego,92102,Encanto Neighborhoods,Chollas View,4/22/10,C (Architecture),,Googie,1962,,,,HRB 10-012
955,,Willis and Jane Fletcher/ Ralph L. Frank and Milton Sessions House,532-273-01,575,San Gorgonio Street,San Diego,92106,Peninsula,La Playa,4/22/10,"C (Architecture)D (Master Designer/Builder)",,Colonial Revival,1941,"Ralph L. FrankMilton Sessions, Master Landscape Designer",,,HRB 10-016
956,,Edward and Eleanor Mastin House,346-454-05,1891,Viking Way,San Diego,92037,La Jolla,La Jolla,4/22/10,C (Architecture),,Spanish Eclectic ,1930,,,,HRB 10-017
957,,Irving and Anna Brockett House ,451-142-01,3725,Wellborn Street,San Diego,92103,Uptown,Midtown,5/27/10,C (Architecture),,Spanish Eclectic ,1927,,,,HRB 10-021
958,,P.Z. Lund Spec. House #1 ,444-250-06,4376,Proctor Place,San Diego,92116,Uptown,University Heights,5/27/10,C (Architecture),,Craftsman Bungalow ,1913,,,,HRB 10-022
959,,Robert O. Peterson/ Russell Forester Residence,532-180-13,567,Gage Drive,San Diego,92106,Peninsula,La Playa,5/27/10,E (National & State Listed),California Register 1/29/2010,Organic Geometric,1965,"Russell Forester, Master Architect",,,HRB 10-024
960,,Henry L. Hier Spec House #1 ,350-110-17,1288,Silverado Street,San Diego,92037,La Jolla,La Jolla,6/24/10,C (Architecture),,Spanish Eclectic ,1928,,,,HRB 10-028
961,,Albert Eugene and Helen Riley House,440-180-10,5141,Marlborough Drive,San Diego,92116,Kensington-Talmadge ,Kensington,6/24/10,A (Special Element),,Spanish Eclectic ,1926,,,,HRB 10-026
962,1008-015,Winslow R. Parsons Spec House #1 ,453-333-22,3520,28th Street,San Diego,92104,Greater North Park,North Park,6/24/10,C (Architecture),HRB #1008-15,Craftsman,1916,,,,HRB 10-027
963,,George P. and Carrie Goodman Muchmore House,539-521-07,2825,B Street,San Diego,92102,Greater Golden Hill,Golden Hill,7/22/10,C (Architecture),,Craftsman style with Neoclassical elements,1909-1921,,,,HRB 10-032
964,,Thomas J. and Maud B. Brownrigg House,450-346-09,3045,James Street,San Diego,92106,Peninsula,Point Loma,7/22/10,C (Architecture),,Craftsman Bungalow ,1913,,,,HRB 10-035
965,,Norman Kennedy House ,357-181-09,716,La Can_ada ,San Diego,92037,La Jolla,La Jolla,8/26/10,"B (Historic Person)C (Architecture)",,Tudor Revival ,1928,"Edgar V. Ullrich, Master Architect",Norman Kennedy,,HRB 10-037
966,,Southern Building Company Spec. House #1 ,440-663-13,4632,Edgeware Road,San Diego,92116,Kensington-Talmadge ,Kensington,8/26/10,C (Architecture),,Craftsman,1912,Southern Building Company,,,HRB 10-039
967,,J.W. Harlan and Carl and Matilda Hays Spec House #1,440-362-16,4165,Rochester Road,San Diego ,92116,Kensington-Talmadge ,Kensington,9/23/10,C (Architecture),,Spanish Eclectic ,1928,,,,HRB 10-042
968,,Dr. James and Leona Parker House ,440-663-25,4637,Marlborough Drive,San Diego ,92116,Kensington-Talmadge ,Kensington,9/23/10,C (Architecture),,Mission Reival,1924,,,,HRB 10-044
969,,Glenn A and Ruth Rick House ,452-331-60,1439,Brookes Avenue,San Diego ,92103,Uptown,Hillcrest,9/23/10,C (Architecture),,Spanish Eclectic ,1927,"Glenn Rick, architectThe Dennstedt Company, builder",,,HRB 10-045
970,,Mattie Bearns House ,535-171-09,1455,F Street,San Diego ,92101,Centre City,Centre City,9/23/10,C (Architecture),,Folk Victorian Vernacular,ca. 1909,,,,HRB 10-047
971,,H.R. Emerling Residential Building,535-171-01,1451-1453,F Street,San Diego ,92101,Centre City,Centre City,10/28/10,C (Architecture),,Edwardian ,ca. 1909,,,,HRB 10-046
972,,Henrietta Buckland House,539-344-09,1522,Granada Avenue,San Diego ,92102,Greater Golden Hill,Golden Hill,10/28/10,C (Architecture),,Prairie - American Foursquare Style,1911,,,,HRB 10-049
973,,William and Mildred Schulenburg Spec. House #1,440-664-11,4633,Edgeware Road,San Diego ,92116,Kensington-Talmadge ,Kensington,10/28/10,C (Architecture),,Craftsman style with Neoclassical elements,1925,,,,HRB 10-050
974,,F. List and C. Bell Mcmechen House,453-651-18,3055,Palm Street,San Diego ,92104,Greater North Park,North Park,10/28/10,C (Architecture),,Spanish Eclectic,ca. 1927,,,,HRB 10-051
975,,Julia French and George R. Metcalf House ,450-102-02,3443,Elliott Street ,San Diego,92106,Peninsula,Point Loma,10/28/10,C (Architecture),,English Cottage ,1920,,,,HRB 10-052
976,,Mut kula xuy/Mut lah hoy ya Site #7 ,Not permitted to list,,,,,,,11/19/10,A (Archaeology),,,,,,,HRB 10-054
977,,Napoleon J. Roy House ,451-642-01,3065,Union Street,San Diego ,92103,Uptown,Midtown,11/19/10,C (Architecture),,Craftsman,1906,,,,HRB 10-056
978,,Henry Nelson/Martin V. Melhorn Spec House #1,443-580-03,1955,Sunset Boulevard,San Diego,92103,Uptown,Mission Hills,1/28/11,"C (Architecture)D (Master Architect/Builder)",,Craftsman,1912,"Martin V. Melhorn, builder",,,HRB 11-005
979,,Alexander Schreiber Spec House #5 ,443-210-15,2310,Presidio Drive,San Diego,92103,Uptown,Mission Hills,2/24/11,"C (Architecture)D (Master Architect/Builder)",,Spanish Eclectic,1924,Alexander Schreiber ,,,HRB 11-007
980,,Dr. James and Virginia Churchill/William Templeton Johnson House ,452-494-16,3264,Curlew Street,San Diego,92103,Uptown,Park West,2/24/11,"C (Architecture)D (Master Architect/Builder)",,Mediterranean Revival,1922,William Templeton Johnson,,,HRB 11-008
981,,Alonzo and Sophia Finley House,453-202-25,3674,Louisiana Street,San Diego,92104,Greater North Park,North Park,2/24/11,C (Architecture),,Craftsman style with Neoclassical influences,c.1911,,,,HRB 11-009
982,,Maxwell and Frances Manning House,465-346-08,4640,Biona Drive,San Diego,92116,Kensington-Talmadge ,Kensington,2/24/11,C (Architecture),,Craftsman Bungalow with Neoclassical influences,1925,,,,HRB 11-011
983,,Earl and Rosalie Verdeckberg House,530-232-07,3747,Milan Street,San Diego,92107,Peninsula,Point Loma,2/24/11,C (Architecture),,Spanish Eclectic,1931,,,,HRB 11-002
984,,Linda Vista Tenant Activity Building ,431-320-19,6909,Linda Vista Road ,San Diego,92111,Linda Vista,Linda Vista,2/24/11,"A (Special Element)C (Architecture)",,800 Series Field House ,1943-1953  ,,,,HRB 11-012
985,,Eric Lund and Anna M. Dahlander Lund House,444-134-08,1036,Madison Avenue,San Diego,92116,Uptown,University Heights,3/24/11,C (Architecture),,Craftsman with Airplane subtype architecture,1923,"Robert Anderson, builder",,,HRB 11-013
986,,Robert and Frances Johnston Rental House,539-354-01,1545,29th Street,San Diego,92102,Greater Golden Hill,Golden Hill,3/24/11,A (Special Element),,Prairie,1943-1948,,,,Memo dated 03/11/11 and HRB-10-048
987,,Walter J. and Grace Ogden/ Ralph L. Frank,452-310-02,1007,Cypress Avenue,San Diego,92103,Uptown,Hillcrest,3/24/11,"C (Architecture)D (Master Designer/Builder)",,Monterey Revival ,1931,"Ralph L. Frank, designer",,,HRB 11-014
988,,William and Ida Cook House ,451-013-01,3819,Pringle Street,San Diego,92103,Uptown,Mission Hills,3/24/11,C (Architecture),,Spanish Eclectic,1926,"R. E. Reid, contractor",,,HRB 11-016
989,,Gilbert and Alberta McClure Rental House and Apartments,445-582-23,4050-4056,Hamilton Street,San Diego,92104,Greater North Park,North Park,3/24/11,C (Architecture),,English Tudor ,1929,,,,HRB 11-018
990,,William Templeton Johnson/ Harry Brawner Rental House,443-051-20,4460,Trias Street,San Diego,92103,Uptown,Mission Hills,3/24/11,D (Master Architect/Builder),,Spanish Eclectic ,1924,"William Templeton Johnson, architect: Harry Brawner, builder",,,HRB 11-019
991,,Carl and Mary Lundquist House,533-174-08,2044,3rd Avenue,San Diego,92101,Uptown,Park West,4/28/11,C (Architecture),,Neoclassical ,ca. 1907,,,,HRB 11-001
992,,Park Prospect Condominiums/Russell Forester Building,350-070-30,800,Prospect Street,San Diego,92037,La Jolla,La Jolla,4/28/11,"C (Architecture)D (Master Architect/Builder)",,Modern/International,ca. 1963,Russell Forester,,,HRB 11-020
